xmlFileName,xmlStem,sourceImageFileName,sourceImageStem,xmlFilenameField,xmlFilenameFieldStem,isXmlFilenameMismatch,className,pose,truncated,difficult,imageWidth,imageHeight,xmin,ymin,xmax,ymax,bboxWidth,bboxHeight,bboxArea,isValidBbox
0.xml,0,0.jpg,0,0.jpg,0,0,corrosion,Unspecified,0,0,1024,1024,304,13,848,1020,544,1007,547808,1
1.xml,1,1.jpg,1,1.jpg,1,0,craze,Unspecified,0,0,1024,1024,781,430,931,763,150,333,49950,1
10.xml,10,10.jpg,10,10.jpg,10,0,surface_injure,Unspecified,0,0,1024,1024,383,931,470,975,87,44,3828,1
10.xml,10,10.jpg,10,10.jpg,10,0,thunderstrike,Unspecified,0,0,1024,1024,517,336,870,472,353,136,48008,1
100.xml,100,100.jpg,100,100.jpg,100,0,thunderstrike,Unspecified,0,0,1024,1024,494,142,842,961,348,819,285012,1
1000.xml,1000,1000.jpg,1000,642.jpg,642,1,hide_craze,Unspecified,0,0,1024,1024,450,685,870,899,420,214,89880,1
1000.xml,1000,1000.jpg,1000,642.jpg,642,1,surface_injure,Unspecified,1,0,1024,1024,781,1,839,136,58,135,7830,1
1001.xml,1001,1001.jpg,1001,645.jpg,645,1,surface_injure,Unspecified,0,0,1024,1024,727,224,844,397,117,173,20241,1
1002.xml,1002,1002.jpg,1002,1002.jpg,1002,0,corrosion,Unspecified,0,0,1024,1024,519,547,677,664,158,117,18486,1
1003.xml,1003,1003.jpg,1003,651.jpg,651,1,surface_injure,Unspecified,0,0,1024,1024,397,510,511,617,114,107,12198,1
1004.xml,1004,1004.jpg,1004,1004.jpg,1004,0,craze,Unspecified,0,0,1024,1024,634,302,866,492,232,190,44080,1
1004.xml,1004,1004.jpg,1004,1004.jpg,1004,0,hide_craze,Unspecified,0,0,1024,1024,355,474,612,522,257,48,12336,1
1005.xml,1005,1005.jpg,1005,656.jpg,656,1,surface_injure,Unspecified,0,0,1024,1024,764,741,822,836,58,95,5510,1
1006.xml,1006,1006.jpg,1006,659.jpg,659,1,thunderstrike,Unspecified,0,0,1024,1024,42,702,233,770,191,68,12988,1
1007.xml,1007,1007.jpg,1007,1007.jpg,1007,0,surface_injure,Unspecified,0,0,1024,1024,381,341,545,488,164,147,24108,1
1008.xml,1008,1008.jpg,1008,1008.jpg,1008,0,surface_injure,Unspecified,0,0,1024,1024,372,330,478,408,106,78,8268,1
1009.xml,1009,1009.jpg,1009,664.jpg,664,1,surface_injure,Unspecified,0,0,1024,1024,41,736,400,910,359,174,62466,1
1009.xml,1009,1009.jpg,1009,664.jpg,664,1,surface_injure,Unspecified,0,0,1024,1024,773,152,1005,328,232,176,40832,1
101.xml,101,101.jpg,101,101.jpg,101,0,surface_injure,Unspecified,0,0,1024,1024,314,114,659,542,345,428,147660,1
1010.xml,1010,1010.jpg,1010,1010.jpg,1010,0,hide_craze,Unspecified,0,0,1024,1024,647,411,767,975,120,564,67680,1
1011.xml,1011,1011.jpg,1011,668.jpg,668,1,craze,Unspecified,0,0,1024,1024,397,494,758,933,361,439,158479,1
1012.xml,1012,1012.jpg,1012,67.jpg,67,1,hide_craze,Unspecified,0,0,1024,1024,359,589,666,688,307,99,30393,1
1013.xml,1013,1013.jpg,1013,674.jpg,674,1,surface_injure,Unspecified,0,0,1024,1024,653,536,747,597,94,61,5734,1
1014.xml,1014,1014.jpg,1014,676.jpg,676,1,hide_craze,Unspecified,0,0,1024,1024,270,130,506,335,236,205,48380,1
1014.xml,1014,1014.jpg,1014,676.jpg,676,1,hide_craze,Unspecified,0,0,1024,1024,298,675,612,877,314,202,63428,1
1015.xml,1015,1015.jpg,1015,679.jpg,679,1,surface_injure,Unspecified,0,0,1024,1024,166,219,855,677,689,458,315562,1
1016.xml,1016,1016.jpg,1016,680.jpg,680,1,corrosion,Unspecified,0,0,1024,1024,402,5,602,1010,200,1005,201000,1
1017.xml,1017,1017.jpg,1017,1017.jpg,1017,0,hide_craze,Unspecified,0,0,1024,1024,584,827,656,866,72,39,2808,1
