xmlFileName,xmlStem,xmlFilenameField,xmlFilenameFieldStem,sourceImageFileName,sourceImageStem
1000.xml,1000,642.jpg,642,1000.jpg,1000
1001.xml,1001,645.jpg,645,1001.jpg,1001
1003.xml,1003,651.jpg,651,1003.jpg,1003
1005.xml,1005,656.jpg,656,1005.jpg,1005
1006.xml,1006,659.jpg,659,1006.jpg,1006
1009.xml,1009,664.jpg,664,1009.jpg,1009
1011.xml,1011,668.jpg,668,1011.jpg,1011
1012.xml,1012,67.jpg,67,1012.jpg,1012
1013.xml,1013,674.jpg,674,1013.jpg,1013
1014.xml,1014,676.jpg,676,1014.jpg,1014
1015.xml,1015,679.jpg,679,1015.jpg,1015
1016.xml,1016,680.jpg,680,1016.jpg,1016
1018.xml,1018,683.jpg,683,1018.jpg,1018
1020.xml,1020,687.jpg,687,1020.jpg,1020
1021.xml,1021,688.jpg,688,1021.jpg,1021
1022.xml,1022,689.jpg,689,1022.jpg,1022
1023.xml,1023,690.jpg,690,1023.jpg,1023
1024.xml,1024,691.jpg,691,1024.jpg,1024
1025.xml,1025,693.jpg,693,1025.jpg,1025
1026.xml,1026,696.jpg,696,1026.jpg,1026
1027.xml,1027,698.jpg,698,1027.jpg,1027
1028.xml,1028,699.jpg,699,1028.jpg,1028
1029.xml,1029,700.jpg,700,1029.jpg,1029
1030.xml,1030,701.jpg,701,1030.jpg,1030
1031.xml,1031,704.jpg,704,1031.jpg,1031
1032.xml,1032,706.jpg,706,1032.jpg,1032
1033.xml,1033,708.jpg,708,1033.jpg,1033
1034.xml,1034,709.jpg,709,1034.jpg,1034
1035.xml,1035,71.jpg,71,1035.jpg,1035
1036.xml,1036,710.jpg,710,1036.jpg,1036
1037.xml,1037,712.jpg,712,1037.jpg,1037
1038.xml,1038,713.jpg,713,1038.jpg,1038
1039.xml,1039,715.jpg,715,1039.jpg,1039
1040.xml,1040,716.jpg,716,1040.jpg,1040
1041.xml,1041,717.jpg,717,1041.jpg,1041
1042.xml,1042,72.jpg,72,1042.jpg,1042
1043.xml,1043,722.jpg,722,1043.jpg,1043
1044.xml,1044,723.jpg,723,1044.jpg,1044
1045.xml,1045,727.jpg,727,1045.jpg,1045
1047.xml,1047,731.jpg,731,1047.jpg,1047
1049.xml,1049,733.jpg,733,1049.jpg,1049
1050.xml,1050,735.jpg,735,1050.jpg,1050
1051.xml,1051,74.jpg,74,1051.jpg,1051
1052.xml,1052,75.jpg,75,1052.jpg,1052
1053.xml,1053,76.jpg,76,1053.jpg,1053
1054.xml,1054,78.jpg,78,1054.jpg,1054
1055.xml,1055,8.jpg,8,1055.jpg,1055
1056.xml,1056,84.jpg,84,1056.jpg,1056
1057.xml,1057,85.jpg,85,1057.jpg,1057
1058.xml,1058,89.jpg,89,1058.jpg,1058
1059.xml,1059,9.jpg,9,1059.jpg,1059
1062.xml,1062,94.jpg,94,1062.jpg,1062
743.xml,743,10.jpg,10,743.jpg,743
744.xml,744,100.jpg,100,744.jpg,744
745.xml,745,101.jpg,101,745.jpg,745
746.xml,746,105.jpg,105,746.jpg,746
747.xml,747,106.jpg,106,747.jpg,747
748.xml,748,108.jpg,108,748.jpg,748
749.xml,749,11.jpg,11,749.jpg,749
750.xml,750,110.jpg,110,750.jpg,750
751.xml,751,111.jpg,111,751.jpg,751
752.xml,752,115.jpg,115,752.jpg,752
753.xml,753,116.jpg,116,753.jpg,753
755.xml,755,120.jpg,120,755.jpg,755
758.xml,758,123.jpg,123,758.jpg,758
759.xml,759,126.jpg,126,759.jpg,759
761.xml,761,13.jpg,13,761.jpg,761
762.xml,762,130.jpg,130,762.jpg,762
763.xml,763,137.jpg,137,763.jpg,763
764.xml,764,14.jpg,14,764.jpg,764
766.xml,766,144.jpg,144,766.jpg,766
767.xml,767,145.jpg,145,767.jpg,767
768.xml,768,146.jpg,146,768.jpg,768
769.xml,769,147.jpg,147,769.jpg,769
770.xml,770,149.jpg,149,770.jpg,770
771.xml,771,15.jpg,15,771.jpg,771
772.xml,772,150.jpg,150,772.jpg,772
773.xml,773,152.jpg,152,773.jpg,773
774.xml,774,157.jpg,157,774.jpg,774
775.xml,775,158.jpg,158,775.jpg,775
776.xml,776,159.jpg,159,776.jpg,776
777.xml,777,160.jpg,160,777.jpg,777
778.xml,778,161.jpg,161,778.jpg,778
779.xml,779,166.jpg,166,779.jpg,779
780.xml,780,168.jpg,168,780.jpg,780
781.xml,781,17.jpg,17,781.jpg,781
782.xml,782,170.jpg,170,782.jpg,782
783.xml,783,172.jpg,172,783.jpg,783
784.xml,784,173.jpg,173,784.jpg,784
785.xml,785,175.jpg,175,785.jpg,785
786.xml,786,177.jpg,177,786.jpg,786
788.xml,788,180.jpg,180,788.jpg,788
789.xml,789,182.jpg,182,789.jpg,789
790.xml,790,183.jpg,183,790.jpg,790
791.xml,791,186.jpg,186,791.jpg,791
792.xml,792,187.jpg,187,792.jpg,792
793.xml,793,189.jpg,189,793.jpg,793
794.xml,794,191.jpg,191,794.jpg,794
795.xml,795,195.jpg,195,795.jpg,795
796.xml,796,196.jpg,196,796.jpg,796
