cropFileName,subset,sourceImageFileName,sourceImageStem,trueClassIndex,trueClassName,cropWidth,cropHeight,hasXmlFilenameMismatch,isExactDuplicateImage,isCrossSplitDuplicateImage,predictedClassIndex,predictedClassName
val__0__obj001__corrosion.png,val,0.jpg,0,1,corrosion,544,1007,0,0,0,1,corrosion
val__165__obj001__corrosion.png,val,165.jpg,165,1,corrosion,273,455,0,0,0,1,corrosion
val__165__obj002__corrosion.png,val,165.jpg,165,1,corrosion,494,517,0,0,0,1,corrosion
val__205__obj001__corrosion.png,val,205.jpg,205,1,corrosion,388,97,0,0,0,1,corrosion
val__205__obj002__corrosion.png,val,205.jpg,205,1,corrosion,495,159,0,0,0,1,corrosion
val__230__obj001__corrosion.png,val,230.jpg,230,1,corrosion,108,540,0,0,0,1,corrosion
val__230__obj002__corrosion.png,val,230.jpg,230,1,corrosion,119,446,0,0,0,1,corrosion
val__248__obj001__corrosion.png,val,248.jpg,248,1,corrosion,323,534,0,0,0,1,corrosion
val__248__obj002__corrosion.png,val,248.jpg,248,1,corrosion,331,406,0,0,0,1,corrosion
val__3__obj001__corrosion.png,val,3.jpg,3,1,corrosion,120,989,0,0,0,1,corrosion
val__346__obj001__corrosion.png,val,346.jpg,346,1,corrosion,375,1012,0,0,0,1,corrosion
val__371__obj001__corrosion.png,val,371.jpg,371,1,corrosion,36,456,0,0,0,5,hide_craze
val__459__obj001__corrosion.png,val,459.jpg,459,1,corrosion,65,508,0,0,0,1,corrosion
val__459__obj002__corrosion.png,val,459.jpg,459,1,corrosion,106,494,0,0,0,2,surface_injure
val__500__obj001__corrosion.png,val,500.jpg,500,1,corrosion,185,981,0,0,0,5,hide_craze
val__540__obj001__corrosion.png,val,540.jpg,540,1,corrosion,196,747,0,0,0,1,corrosion
val__549__obj001__corrosion.png,val,549.jpg,549,1,corrosion,284,1019,0,0,0,1,corrosion
val__590__obj001__corrosion.png,val,590.jpg,590,1,corrosion,1000,127,0,0,0,1,corrosion
val__72__obj001__corrosion.png,val,72.jpg,72,1,corrosion,41,566,0,0,0,5,hide_craze
val__724__obj001__corrosion.png,val,724.jpg,724,1,corrosion,254,996,0,0,0,1,corrosion
val__866__obj001__corrosion.png,val,866.jpg,866,1,corrosion,410,100,1,0,0,1,corrosion
val__866__obj002__corrosion.png,val,866.jpg,866,1,corrosion,453,147,1,0,0,1,corrosion
val__891__obj001__corrosion.png,val,891.jpg,891,1,corrosion,209,862,1,0,0,1,corrosion
val__920__obj001__corrosion.png,val,920.jpg,920,1,corrosion,281,75,0,0,0,2,surface_injure
val__929__obj001__corrosion.png,val,929.jpg,929,1,corrosion,980,461,1,0,0,1,corrosion
val__941__obj001__corrosion.png,val,941.jpg,941,1,corrosion,806,327,1,0,0,1,corrosion
val__955__obj001__corrosion.png,val,955.jpg,955,1,corrosion,275,1011,0,0,0,1,corrosion
val__962__obj001__corrosion.png,val,962.jpg,962,1,corrosion,241,883,1,0,0,1,corrosion
val__978__obj001__corrosion.png,val,978.jpg,978,1,corrosion,852,435,1,0,0,1,corrosion
val__1062__obj001__crack.png,val,1062.jpg,1062,4,crack,46,200,1,0,0,4,crack
val__1062__obj002__crack.png,val,1062.jpg,1062,4,crack,138,270,1,0,0,4,crack
val__111__obj001__crack.png,val,111.jpg,111,4,crack,170,139,0,0,0,4,crack
val__143__obj001__crack.png,val,143.jpg,143,4,crack,186,634,0,0,0,4,crack
val__182__obj001__crack.png,val,182.jpg,182,4,crack,121,714,0,0,0,4,crack
val__187__obj001__crack.png,val,187.jpg,187,4,crack,186,125,0,0,0,4,crack
val__187__obj002__crack.png,val,187.jpg,187,4,crack,166,147,0,0,0,4,crack
val__203__obj001__crack.png,val,203.jpg,203,4,crack,149,134,0,0,0,0,craze
val__203__obj002__crack.png,val,203.jpg,203,4,crack,155,98,0,0,0,4,crack
val__225__obj001__crack.png,val,225.jpg,225,4,crack,125,363,0,0,0,5,hide_craze
val__305__obj001__crack.png,val,305.jpg,305,4,crack,48,202,0,0,0,4,crack
val__305__obj002__crack.png,val,305.jpg,305,4,crack,150,267,0,0,0,4,crack
val__338__obj001__crack.png,val,338.jpg,338,4,crack,338,181,0,0,0,4,crack
val__348__obj001__crack.png,val,348.jpg,348,4,crack,61,231,0,0,0,4,crack
val__348__obj002__crack.png,val,348.jpg,348,4,crack,178,297,0,0,0,4,crack
val__433__obj001__crack.png,val,433.jpg,433,4,crack,103,513,0,0,0,4,crack
val__486__obj001__crack.png,val,486.jpg,486,4,crack,347,458,0,0,0,2,surface_injure
val__552__obj001__crack.png,val,552.jpg,552,4,crack,484,785,0,0,0,4,crack
