cropFileName,subset,sourceImageFileName,sourceImageStem,trueClassIndex,predictedClassIndex,trueClassName,predictedClassName,predictedConfidence,cropWidth,cropHeight,hasXmlFilenameMismatch,isExactDuplicateImage,isCrossSplitDuplicateImage
test__1031__obj001__corrosion.png,test,1031.jpg,1031,1,1,corrosion,corrosion,0.9872716069221497,180,973,1,0,0
test__1045__obj001__corrosion.png,test,1045.jpg,1045,1,1,corrosion,corrosion,0.9782310128211975,133,615,1,0,0
test__161__obj001__corrosion.png,test,161.jpg,161,1,1,corrosion,corrosion,0.9915297031402588,428,1012,0,0,0
test__322__obj001__corrosion.png,test,322.jpg,322,1,1,corrosion,corrosion,0.9960636496543884,254,959,0,0,0
test__323__obj001__corrosion.png,test,323.jpg,323,1,2,corrosion,surface_injure,0.615204930305481,183,123,0,0,0
test__370__obj001__corrosion.png,test,370.jpg,370,1,1,corrosion,corrosion,0.9948611855506897,244,216,0,0,0
test__370__obj002__corrosion.png,test,370.jpg,370,1,1,corrosion,corrosion,0.9822690486907959,212,255,0,0,0
test__370__obj003__corrosion.png,test,370.jpg,370,1,1,corrosion,corrosion,0.999750554561615,343,309,0,0,0
test__373__obj001__corrosion.png,test,373.jpg,373,1,1,corrosion,corrosion,0.9680337905883789,930,91,0,0,0
test__390__obj001__corrosion.png,test,390.jpg,390,1,1,corrosion,corrosion,0.9926685094833374,208,186,0,0,0
test__405__obj001__corrosion.png,test,405.jpg,405,1,1,corrosion,corrosion,0.9828007221221924,319,1003,0,0,0
test__408__obj001__corrosion.png,test,408.jpg,408,1,1,corrosion,corrosion,0.9365614652633667,708,138,0,0,0
test__408__obj002__corrosion.png,test,408.jpg,408,1,1,corrosion,corrosion,0.9983793497085571,259,315,0,0,0
test__410__obj001__corrosion.png,test,410.jpg,410,1,1,corrosion,corrosion,0.9735937118530273,474,91,0,0,0
test__410__obj002__corrosion.png,test,410.jpg,410,1,2,corrosion,surface_injure,0.47739455103874207,407,106,0,0,0
test__451__obj001__corrosion.png,test,451.jpg,451,1,1,corrosion,corrosion,0.9871670603752136,977,89,0,0,0
test__46__obj001__corrosion.png,test,46.jpg,46,1,1,corrosion,corrosion,0.6379960179328918,528,117,0,0,0
test__46__obj002__corrosion.png,test,46.jpg,46,1,1,corrosion,corrosion,0.5877987146377563,245,87,0,0,0
test__501__obj001__corrosion.png,test,501.jpg,501,1,1,corrosion,corrosion,0.972091019153595,1000,634,0,0,0
test__505__obj001__corrosion.png,test,505.jpg,505,1,3,corrosion,thunderstrike,0.760016679763794,1006,416,0,0,0
test__521__obj001__corrosion.png,test,521.jpg,521,1,2,corrosion,surface_injure,0.6151717901229858,50,145,0,0,0
test__521__obj002__corrosion.png,test,521.jpg,521,1,5,corrosion,hide_craze,0.9954751133918762,37,488,0,0,0
test__546__obj001__corrosion.png,test,546.jpg,546,1,1,corrosion,corrosion,0.8779313564300537,117,489,0,0,0
test__546__obj002__corrosion.png,test,546.jpg,546,1,1,corrosion,corrosion,0.9825381636619568,66,264,0,0,0
test__546__obj003__corrosion.png,test,546.jpg,546,1,1,corrosion,corrosion,0.8512690663337708,52,91,0,0,0
test__566__obj001__corrosion.png,test,566.jpg,566,1,1,corrosion,corrosion,0.9929185509681702,241,883,0,0,0
test__598__obj001__corrosion.png,test,598.jpg,598,1,1,corrosion,corrosion,0.8634809851646423,77,579,0,0,0
test__598__obj002__corrosion.png,test,598.jpg,598,1,1,corrosion,corrosion,0.9449406862258911,75,245,0,0,0
test__65__obj001__corrosion.png,test,65.jpg,65,1,4,corrosion,crack,0.6995221376419067,358,950,0,0,0
test__650__obj001__corrosion.png,test,650.jpg,650,1,1,corrosion,corrosion,0.7351760268211365,151,921,0,0,0
test__658__obj001__corrosion.png,test,658.jpg,658,1,4,corrosion,crack,0.7611213326454163,187,975,0,0,0
test__704__obj001__corrosion.png,test,704.jpg,704,1,1,corrosion,corrosion,0.9845952987670898,180,973,0,0,0
test__775__obj001__corrosion.png,test,775.jpg,775,1,1,corrosion,corrosion,0.6396870017051697,97,122,1,0,0
test__778__obj001__corrosion.png,test,778.jpg,778,1,1,corrosion,corrosion,0.9503322243690491,428,1012,1,0,0
test__865__obj001__corrosion.png,test,865.jpg,865,1,1,corrosion,corrosion,0.9920825958251953,900,92,1,0,0
test__881__obj001__corrosion.png,test,881.jpg,881,1,2,corrosion,surface_injure,0.5538246631622314,244,216,1,0,0
test__881__obj002__corrosion.png,test,881.jpg,881,1,1,corrosion,corrosion,0.60123211145401,212,255,1,0,0
test__881__obj003__corrosion.png,test,881.jpg,881,1,1,corrosion,corrosion,0.9925152659416199,343,309,1,0,0
test__882__obj001__corrosion.png,test,882.jpg,882,1,1,corrosion,corrosion,0.9728766083717346,930,91,1,0,0
test__887__obj001__corrosion.png,test,887.jpg,887,1,1,corrosion,corrosion,0.9710032939910889,219,966,1,0,0
test__919__obj001__corrosion.png,test,919.jpg,919,1,1,corrosion,corrosion,0.9934032559394836,65,508,1,0,0
test__919__obj002__corrosion.png,test,919.jpg,919,1,1,corrosion,corrosion,0.9798845052719116,106,494,1,0,0
test__935__obj001__corrosion.png,test,935.jpg,935,1,1,corrosion,corrosion,0.9065153002738953,356,84,1,0,0
test__935__obj002__corrosion.png,test,935.jpg,935,1,3,corrosion,thunderstrike,0.9723108410835266,235,98,1,0,0
test__935__obj003__corrosion.png,test,935.jpg,935,1,3,corrosion,thunderstrike,0.8396095633506775,302,119,1,0,0
test__959__obj001__corrosion.png,test,959.jpg,959,1,1,corrosion,corrosion,0.9939550757408142,164,606,1,0,0
test__1055__obj001__crack.png,test,1055.jpg,1055,4,4,crack,crack,0.8841245174407959,133,598,1,0,0
test__1058__obj001__crack.png,test,1058.jpg,1058,4,4,crack,crack,0.99695885181427,85,311,1,0,0
test__1058__obj002__crack.png,test,1058.jpg,1058,4,4,crack,crack,0.9736798405647278,209,428,1,0,0
test__216__obj001__crack.png,test,216.jpg,216,4,4,crack,crack,0.9911312460899353,78,64,0,0,0
test__233__obj001__crack.png,test,233.jpg,233,4,4,crack,crack,0.9985646605491638,62,223,0,0,0
test__233__obj002__crack.png,test,233.jpg,233,4,4,crack,crack,0.9981691837310791,171,297,0,0,0
test__238__obj001__crack.png,test,238.jpg,238,4,4,crack,crack,0.9992552399635315,188,144,0,0,0
test__238__obj002__crack.png,test,238.jpg,238,4,4,crack,crack,0.9949263334274292,189,157,0,0,0
test__250__obj001__crack.png,test,250.jpg,250,4,4,crack,crack,0.9991222023963928,141,244,0,0,0
test__252__obj001__crack.png,test,252.jpg,252,4,4,crack,crack,0.9399058222770691,92,69,0,0,0
test__269__obj001__crack.png,test,269.jpg,269,4,4,crack,crack,0.8567582964897156,122,769,0,0,0
test__271__obj001__crack.png,test,271.jpg,271,4,4,crack,crack,0.9601903557777405,78,75,0,0,0
test__318__obj001__crack.png,test,318.jpg,318,4,4,crack,crack,0.981262743473053,89,503,0,0,0
test__389__obj001__crack.png,test,389.jpg,389,4,4,crack,crack,0.9832502007484436,111,69,0,0,0
test__394__obj001__crack.png,test,394.jpg,394,4,4,crack,crack,0.9162089228630066,362,455,0,0,0
test__440__obj001__crack.png,test,440.jpg,440,4,4,crack,crack,0.6392810344696045,275,586,0,0,0
test__447__obj001__crack.png,test,447.jpg,447,4,4,crack,crack,0.9976413249969482,236,306,0,0,0
test__447__obj002__crack.png,test,447.jpg,447,4,4,crack,crack,0.9973438382148743,72,229,0,0,0
test__473__obj001__crack.png,test,473.jpg,473,4,0,crack,craze,0.5634344220161438,671,289,0,0,0
test__570__obj001__crack.png,test,570.jpg,570,4,4,crack,crack,0.9856122732162476,188,264,0,0,0
test__735__obj001__crack.png,test,735.jpg,735,4,4,crack,crack,0.9904695153236389,328,391,0,0,0
test__762__obj001__crack.png,test,762.jpg,762,4,4,crack,crack,0.4716130197048187,70,350,1,0,0
test__762__obj002__crack.png,test,762.jpg,762,4,4,crack,crack,0.9032343029975891,277,461,1,0,0
test__773__obj001__crack.png,test,773.jpg,773,4,4,crack,crack,0.9698881506919861,128,258,1,0,0
test__773__obj002__crack.png,test,773.jpg,773,4,4,crack,crack,0.9962945580482483,46,216,1,0,0
test__811__obj001__crack.png,test,811.jpg,811,4,4,crack,crack,0.9927984476089478,119,169,1,0,0
test__811__obj002__crack.png,test,811.jpg,811,4,4,crack,crack,0.8541080951690674,124,165,1,0,0
test__849__obj001__crack.png,test,849.jpg,849,4,4,crack,crack,0.9941522479057312,48,202,1,0,0
test__849__obj002__crack.png,test,849.jpg,849,4,4,crack,crack,0.9913367033004761,150,267,1,0,0
test__88__obj001__crack.png,test,88.jpg,88,4,4,crack,crack,0.977112352848053,211,298,0,0,0
test__906__obj001__crack.png,test,906.jpg,906,4,4,crack,crack,0.991486132144928,252,616,1,0,0
test__103__obj001__craze.png,test,103.jpg,103,0,0,craze,craze,0.7647281289100647,798,300,0,0,0
test__1030__obj001__craze.png,test,1030.jpg,1030,0,0,craze,craze,0.9913840293884277,692,747,1,0,0
test__1040__obj001__craze.png,test,1040.jpg,1040,0,0,craze,craze,0.9521117210388184,134,849,1,0,0
test__1040__obj002__craze.png,test,1040.jpg,1040,0,0,craze,craze,0.8436482548713684,263,557,1,0,0
test__141__obj001__craze.png,test,141.jpg,141,0,0,craze,craze,0.5745275020599365,770,283,0,0,0
test__156__obj001__craze.png,test,156.jpg,156,0,0,craze,craze,0.9413411021232605,248,274,0,0,0
test__166__obj001__craze.png,test,166.jpg,166,0,0,craze,craze,0.9989643096923828,289,101,0,0,0
test__167__obj001__craze.png,test,167.jpg,167,0,0,craze,craze,0.9577287435531616,160,292,0,0,0
test__167__obj002__craze.png,test,167.jpg,167,0,0,craze,craze,0.9587103128433228,476,786,0,0,0
test__175__obj001__craze.png,test,175.jpg,175,0,0,craze,craze,0.9945448637008667,241,195,0,0,0
test__175__obj002__craze.png,test,175.jpg,175,0,0,craze,craze,0.9819561839103699,333,347,0,0,0
test__175__obj003__craze.png,test,175.jpg,175,0,0,craze,craze,0.9999747276306152,371,369,0,0,0
