cropFileName,cropPath,subset,className,sourceImageFileName,sourceImageStem,xmlFileName,xmlStem,xmlFilenameField,xmlFilenameFieldStem,objectIndexInSourceImage,sourceImageObjectCount,sourceImageDistinctClassCount,hasXmlFilenameMismatch,duplicateGroupSize,isExactDuplicateImage,isCrossSplitDuplicateImage,originalXmin,originalYmin,originalXmax,originalYmax,cropXmin,cropYmin,cropXmax,cropYmax,cropWidth,cropHeight,cropArea,bboxWidth,bboxHeight,bboxArea,trueClassIndex,predictedClassIndex,predictedClassName,predictedDecisionScore,isCorrectPrediction
test__1031__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__1031__obj001__corrosion.png,test,corrosion,1031.jpg,1031,1031.xml,1031,704.jpg,704,1,1,1,1,1,0,0,548,30,728,1003,548,30,728,1003,180,973,175140,180,973,175140,1,1,corrosion,0.13772425055503845,1
test__1045__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__1045__obj001__corrosion.png,test,corrosion,1045.jpg,1045,1045.xml,1045,727.jpg,727,1,1,1,1,1,0,0,700,149,833,764,700,149,833,764,133,615,81795,133,615,81795,1,1,corrosion,0.5522987842559814,1
test__161__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__161__obj001__corrosion.png,test,corrosion,161.jpg,161,161.xml,161,161.jpg,161,1,1,1,0,1,0,0,450,8,878,1020,450,8,878,1020,428,1012,433136,428,1012,433136,1,0,craze,0.6805254817008972,0
test__322__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__322__obj001__corrosion.png,test,corrosion,322.jpg,322,322.xml,322,322.jpg,322,1,1,1,0,1,0,0,402,30,656,989,402,30,656,989,254,959,243586,254,959,243586,1,1,corrosion,0.924207866191864,1
test__323__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__323__obj001__corrosion.png,test,corrosion,323.jpg,323,323.xml,323,323.jpg,323,1,1,1,0,1,0,0,173,752,356,875,173,752,356,875,183,123,22509,183,123,22509,1,1,corrosion,-0.12700416147708893,1
test__370__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__370__obj001__corrosion.png,test,corrosion,370.jpg,370,370.xml,370,370.jpg,370,1,3,1,0,1,0,0,34,195,278,411,34,195,278,411,244,216,52704,244,216,52704,1,1,corrosion,0.9956213235855103,1
test__370__obj002__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__370__obj002__corrosion.png,test,corrosion,370.jpg,370,370.xml,370,370.jpg,370,2,3,1,0,1,0,0,302,395,514,650,302,395,514,650,212,255,54060,212,255,54060,1,1,corrosion,0.5693962574005127,1
test__370__obj003__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__370__obj003__corrosion.png,test,corrosion,370.jpg,370,370.xml,370,370.jpg,370,3,3,1,0,1,0,0,534,555,877,864,534,555,877,864,343,309,105987,343,309,105987,1,0,craze,0.11911825090646744,0
test__373__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__373__obj001__corrosion.png,test,corrosion,373.jpg,373,373.xml,373,373.jpg,373,1,1,1,0,1,0,0,39,425,969,516,39,425,969,516,930,91,84630,930,91,84630,1,5,hide_craze,0.09868042171001434,0
test__390__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__390__obj001__corrosion.png,test,corrosion,390.jpg,390,390.xml,390,390.jpg,390,1,1,1,0,1,0,0,137,533,345,719,137,533,345,719,208,186,38688,208,186,38688,1,1,corrosion,0.7203530669212341,1
test__405__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__405__obj001__corrosion.png,test,corrosion,405.jpg,405,405.xml,405,405.jpg,405,1,1,1,0,1,0,0,511,13,830,1016,511,13,830,1016,319,1003,319957,319,1003,319957,1,1,corrosion,0.2400771677494049,1
test__408__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__408__obj001__corrosion.png,test,corrosion,408.jpg,408,408.xml,408,408.jpg,408,1,2,1,0,1,0,0,34,545,742,683,34,545,742,683,708,138,97704,708,138,97704,1,2,surface_injure,0.991515576839447,0
test__408__obj002__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__408__obj002__corrosion.png,test,corrosion,408.jpg,408,408.xml,408,408.jpg,408,2,2,1,0,1,0,0,753,374,1012,689,753,374,1012,689,259,315,81585,259,315,81585,1,0,craze,0.465750128030777,0
test__410__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__410__obj001__corrosion.png,test,corrosion,410.jpg,410,410.xml,410,410.jpg,410,1,2,1,0,1,0,0,12,347,486,438,12,347,486,438,474,91,43134,474,91,43134,1,1,corrosion,0.4740823805332184,1
test__410__obj002__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__410__obj002__corrosion.png,test,corrosion,410.jpg,410,410.xml,410,410.jpg,410,2,2,1,0,1,0,0,502,399,909,505,502,399,909,505,407,106,43142,407,106,43142,1,2,surface_injure,-0.14116171002388,0
test__451__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__451__obj001__corrosion.png,test,corrosion,451.jpg,451,451.xml,451,451.jpg,451,1,1,1,0,1,0,0,3,424,980,513,3,424,980,513,977,89,86953,977,89,86953,1,1,corrosion,-0.040359754115343094,1
test__46__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__46__obj001__corrosion.png,test,corrosion,46.jpg,46,46.xml,46,46.jpg,46,1,2,1,0,1,0,0,20,563,548,680,20,563,548,680,528,117,61776,528,117,61776,1,2,surface_injure,0.376747190952301,0
test__46__obj002__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__46__obj002__corrosion.png,test,corrosion,46.jpg,46,46.xml,46,46.jpg,46,2,2,1,0,1,0,0,569,491,814,578,569,491,814,578,245,87,21315,245,87,21315,1,1,corrosion,0.00030598329612985253,1
test__501__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__501__obj001__corrosion.png,test,corrosion,501.jpg,501,501.xml,501,501.jpg,501,1,1,1,0,1,0,0,5,108,1005,742,5,108,1005,742,1000,634,634000,1000,634,634000,1,2,surface_injure,-0.1871529072523117,0
test__505__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__505__obj001__corrosion.png,test,corrosion,505.jpg,505,505.xml,505,505.jpg,505,1,1,1,0,1,0,0,6,200,1012,616,6,200,1012,616,1006,416,418496,1006,416,418496,1,1,corrosion,0.528480589389801,1
test__521__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__521__obj001__corrosion.png,test,corrosion,521.jpg,521,521.xml,521,521.jpg,521,1,2,1,0,1,0,0,583,297,633,442,583,297,633,442,50,145,7250,50,145,7250,1,1,corrosion,0.32101771235466003,1
test__521__obj002__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__521__obj002__corrosion.png,test,corrosion,521.jpg,521,521.xml,521,521.jpg,521,2,2,1,0,1,0,0,602,531,639,1019,602,531,639,1019,37,488,18056,37,488,18056,1,5,hide_craze,0.5810496807098389,0
test__546__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/test/corrosion/test__546__obj001__corrosion.png,test,corrosion,546.jpg,546,546.xml,546,546.jpg,546,1,3,1,0,1,0,0,581,211,698,700,581,211,698,700,117,489,57213,117,489,57213,1,1,corrosion,0.4267251789569855,1
