trialNumber,featureCacheKey,imageSize,pixelsPerCellX,pixelsPerCellY,pixelsPerCellLabel,orientations,colorMode,cValue,svmTol,svmMaxIter,featureDimension,hadConvergenceWarning,convergenceWarningCount,trainAccuracy,trainMacroPrecision,trainMacroRecall,trainMacroF1,trainWeightedF1,valAccuracy,valMacroPrecision,valMacroRecall,valMacroF1,valWeightedF1,isSelectionEligible,rankBySelection
18,size144__ppc16x16__ori9__colorrgb,144,16,16,16x16,9,rgb,0.007,0.001,10000,2304,0,0,0.9854147675478578,0.9884713437710428,0.987679366515409,0.987993427492606,0.9854929883285143,0.7224489795918367,0.6954447261857802,0.7058063084323578,0.6956552902772711,0.724684328582781,1,1
1,size128__ppc8x8__ori9__colorrgb,128,8,8,8x8,9,rgb,0.001,0.001,10000,8100,0,0,0.9908842297174111,0.9922799361861863,0.9924477495179554,0.9923098026982111,0.9908912318291702,0.7142857142857143,0.6837446810644455,0.7036693735289353,0.6902542212928822,0.7181934035510723,1,2
19,size144__ppc16x16__ori9__colorrgb,144,16,16,16x16,9,rgb,0.01,0.001,10000,2304,0,0,0.9872379216043756,0.9897066297066296,0.9893974551317641,0.9894936044103889,0.9872880436034858,0.7142857142857143,0.6879553675328323,0.6999087250031288,0.688827861234521,0.7168187569979779,1,3
11,size144__ppc8x8__ori9__colorrgb,144,8,8,8x8,9,rgb,0.001,0.001,10000,10404,0,0,0.9963536918869644,0.9973958333333334,0.9968852504203533,0.997122588187985,0.9963594873075405,0.7224489795918367,0.6802699307738055,0.6956927837839495,0.6869043186722608,0.7246496476726891,1,4
7,size128__ppc16x16__ori9__colorrgb,128,16,16,16x16,9,rgb,0.003,0.001,10000,1764,0,0,0.9535095715587967,0.9631703508515104,0.960979963309227,0.9609023575459794,0.9537897364041897,0.7142857142857143,0.6735010886043917,0.7059928860769866,0.6840966109622825,0.7180686832712418,1,5
14,size144__ppc8x8__ori9__colorrgb,144,8,8,8x8,9,rgb,0.01,0.001,10000,10404,0,0,1.0,1.0,1.0,1.0,1.0,0.710204081632653,0.6792910447761195,0.6921963757343351,0.6830881362749919,0.7121800205304303,1,6
8,size128__ppc16x16__ori9__colorrgb,128,16,16,16x16,9,rgb,0.007,0.001,10000,1764,0,0,0.9799453053783045,0.9843291023257068,0.9829333325053989,0.9833489376647945,0.9800226721090877,0.7142857142857143,0.6757990141711073,0.6964198067364654,0.682218394104699,0.718716565006709,1,7
17,size144__ppc16x16__ori9__colorrgb,144,16,16,16x16,9,rgb,0.003,0.001,10000,2304,0,0,0.9644484958979034,0.9701363827770457,0.9705245290616383,0.9699772895149249,0.9646843436879019,0.7061224489795919,0.6737406585615576,0.6967389543547005,0.6805609180609181,0.7094518656883604,1,8
9,size128__ppc16x16__ori9__colorrgb,128,16,16,16x16,9,rgb,0.01,0.001,10000,1764,0,0,0.9826800364630811,0.9866659830462128,0.9847318936564782,0.9854747782854637,0.9827453980769085,0.7142857142857143,0.6739238310420707,0.6970483422487218,0.6804731334497457,0.719773282638525,1,9
12,size144__ppc8x8__ori9__colorrgb,144,8,8,8x8,9,rgb,0.003,0.001,10000,10404,0,0,1.0,1.0,1.0,1.0,1.0,0.710204081632653,0.6695767195767196,0.687597405509001,0.6768595847031261,0.7124516345613606,1,10
