trialNumber,featureCacheKey,imageSize,pixelsPerCellX,pixelsPerCellY,pixelsPerCellLabel,orientations,colorMode,cValue,logisticTol,logisticMaxIter,featureDimension,hadConvergenceWarning,convergenceWarningCount,trainAccuracy,trainMacroPrecision,trainMacroRecall,trainMacroF1,trainWeightedF1,valAccuracy,valMacroPrecision,valMacroRecall,valMacroF1,valWeightedF1,isSelectionEligible,rankBySelection
65,size144__ppc16x16__ori9__colorrgb,144,16,16,16x16,9,rgb,0.1,0.001,2000,2304,0,0,0.9954421148587056,0.9962100024382198,0.9966243122717944,0.9964084547976406,0.9954456493119352,0.7551020408163265,0.7116272518904099,0.7337338867720646,0.7184236562360974,0.7588961397421199,1,1
72,size144__ppc16x16__ori12__colorrgb,144,16,16,16x16,12,rgb,0.3,0.001,2000,3072,0,0,0.9990884229717412,0.9993412384716732,0.9994004796163068,0.9993696666963993,0.9990885042826883,0.746938775510204,0.7057900439894702,0.7409419113851524,0.7155619466313256,0.7520308158257345,1,2
40,size128__ppc16x16__ori9__colorrgb,128,16,16,16x16,9,rgb,0.03,0.001,2000,1764,0,0,0.9690063810391978,0.9753045442326732,0.9747182436870077,0.974572905018065,0.9691813008769331,0.7306122448979592,0.6948306983190705,0.7303508618728438,0.7044001502352146,0.736899886668419,1,3
28,size128__ppc8x8__ori9__colorrgb,128,8,8,8x8,9,rgb,0.03,0.001,2000,8100,0,0,0.9990884229717412,0.9993412384716732,0.9994004796163068,0.9993696666963993,0.9990885042826883,0.7306122448979592,0.7048471354757692,0.7072366222757541,0.7033695767457,0.7333183329090168,1,4
71,size144__ppc16x16__ori12__colorrgb,144,16,16,16x16,12,rgb,0.1,0.001,2000,3072,0,0,0.9972652689152234,0.9977667260275956,0.9978233530391803,0.9977938497740477,0.9972671553291966,0.7306122448979592,0.6916108115015756,0.7158649560756389,0.6981478505946631,0.7342452598155103,1,5
64,size144__ppc16x16__ori9__colorrgb,144,16,16,16x16,9,rgb,0.03,0.001,2000,2304,0,0,0.9790337283500455,0.9825768321513002,0.9831613930782872,0.9826957596953299,0.9791354387400518,0.7306122448979592,0.6890669515669514,0.7159530462800081,0.6977973302854968,0.7344154796328201,1,6
70,size144__ppc16x16__ori12__colorrgb,144,16,16,16x16,12,rgb,0.03,0.001,2000,3072,0,0,0.9854147675478578,0.9878748190755465,0.9887913718538873,0.9882826245016627,0.9854613824235523,0.7306122448979592,0.6883510428587156,0.7182597559387932,0.6965631749326436,0.7350972618765487,1,7
30,size128__ppc8x8__ori9__colorrgb,128,8,8,8x8,9,rgb,0.3,0.001,2000,8100,0,0,1.0,1.0,1.0,1.0,1.0,0.7061224489795919,0.6924872513107808,0.7000784997584911,0.6921473574802944,0.7096728730544083,1,8
53,size144__ppc8x8__ori9__colorrgb,144,8,8,8x8,9,rgb,0.1,0.001,2000,10404,0,0,1.0,1.0,1.0,1.0,1.0,0.726530612244898,0.6810159747659749,0.7086930521147324,0.6915090005923958,0.7302444669447208,1,9
52,size144__ppc8x8__ori9__colorrgb,144,8,8,8x8,9,rgb,0.03,0.001,2000,10404,0,0,1.0,1.0,1.0,1.0,1.0,0.7306122448979592,0.6825904977375566,0.7023237958190706,0.6896734503900008,0.7333339604086178,1,10
63,size144__ppc16x16__ori9__colorrgb,144,16,16,16x16,9,rgb,0.01,0.001,2000,2304,0,0,0.9498632634457612,0.95313993340782,0.9588045504910023,0.9552370743165023,0.9500331123846456,0.7224489795918367,0.6805028986895371,0.718195290758049,0.6895888446198044,0.7285515081401858,1,11
35,size128__ppc8x8__ori12__colorrgb,128,8,8,8x8,12,rgb,0.1,0.001,2000,10800,0,0,1.0,1.0,1.0,1.0,1.0,0.7061224489795919,0.6868506944285261,0.7127485555865567,0.6894357964017407,0.7142503228748253,1,12
34,size128__ppc8x8__ori12__colorrgb,128,8,8,8x8,12,rgb,0.03,0.001,2000,10800,0,0,1.0,1.0,1.0,1.0,1.0,0.7183673469387755,0.68426205418235,0.702971649094242,0.6882709294724303,0.722799242854817,1,13
51,size144__ppc8x8__ori9__colorrgb,144,8,8,8x8,9,rgb,0.01,0.001,2000,10404,0,0,0.9990884229717412,0.9993412384716732,0.9994004796163068,0.9993696666963993,0.9990885042826883,0.726530612244898,0.6805596479938586,0.6995855556654639,0.6876712936132309,0.7291931040067916,1,14
54,size144__ppc8x8__ori9__colorrgb,144,8,8,8x8,9,rgb,0.3,0.001,2000,10404,0,0,1.0,1.0,1.0,1.0,1.0,0.7183673469387755,0.6804671134691603,0.7009411141302363,0.6873427928660486,0.7206904999762141,1,15
36,size128__ppc8x8__ori12__colorrgb,128,8,8,8x8,12,rgb,0.3,0.001,2000,10800,0,0,1.0,1.0,1.0,1.0,1.0,0.7061224489795919,0.6844051874994722,0.6994667671355012,0.6869768193518917,0.710309029650834,1,16
29,size128__ppc8x8__ori9__colorrgb,128,8,8,8x8,9,rgb,0.1,0.001,2000,8100,0,0,1.0,1.0,1.0,1.0,1.0,0.7224489795918367,0.6829695767195768,0.6995727744956272,0.6867542858532184,0.7281807065227998,1,17
57,size144__ppc8x8__ori12__colorrgb,144,8,8,8x8,12,rgb,0.01,0.001,2000,13872,0,0,0.9990884229717412,0.9993412384716732,0.9994004796163068,0.9993696666963993,0.9990885042826883,0.7224489795918367,0.6814335442384224,0.6896773650146301,0.6832241327408104,0.7240602086768624,1,18
41,size128__ppc16x16__ori9__colorrgb,128,16,16,16x16,9,rgb,0.1,0.001,2000,1764,0,0,0.9927073837739289,0.9945746851824201,0.9934963737990282,0.9939860500145233,0.9927280146432321,0.7224489795918367,0.6750790424570913,0.6981539721546116,0.6825682839325014,0.7279465832631324,1,19
69,size144__ppc16x16__ori12__colorrgb,144,16,16,16x16,12,rgb,0.01,0.001,2000,3072,0,0,0.9635369188696444,0.9694531200422603,0.9697986982068073,0.9690597691901431,0.9637662942864395,0.7142857142857143,0.6741898604263065,0.7098209373733924,0.6817522327335589,0.7205333546744503,1,20
66,size144__ppc16x16__ori9__colorrgb,144,16,16,16x16,9,rgb,0.3,0.001,2000,2304,0,0,0.9981768459434822,0.9986876640419947,0.9984847287005559,0.9985818013485996,0.9981783721584327,0.7183673469387755,0.6734392556760977,0.6858075161344782,0.6765385694843392,0.7212186699782299,1,21
88,size160__ppc16x16__ori9__colorrgb,160,16,16,16x16,9,rgb,0.03,0.001,2000,2916,0,0,0.9890610756608933,0.9915354822588706,0.9914145227963139,0.9913721643803909,0.9890778839483361,0.7183673469387755,0.6712726267812918,0.6836468112784436,0.6748340103526015,0.7225882051879529,1,22
27,size128__ppc8x8__ori9__colorrgb,128,8,8,8x8,9,rgb,0.01,0.001,2000,8100,0,0,0.9972652689152234,0.9977769172296086,0.9978431048264836,0.9978026253531649,0.9972655163187696,0.710204081632653,0.6705919833212706,0.6842906428341853,0.6745542352859425,0.7149014903021872,1,23
39,size128__ppc16x16__ori9__colorrgb,128,16,16,16x16,9,rgb,0.01,0.001,2000,1764,0,0,0.927073837739289,0.941241031271753,0.9407694031053432,0.9392062081255692,0.927390536042818,0.7061224489795919,0.667123274124076,0.7105226835275155,0.6744984464209715,0.7161056211529637,1,24
87,size160__ppc16x16__ori9__colorrgb,160,16,16,16x16,9,rgb,0.01,0.001,2000,2916,0,0,0.9617137648131268,0.9646643687939015,0.9684071374627284,0.9660216440686584,0.9618091910585739,0.7142857142857143,0.6684738149112631,0.6874812380913099,0.6735136363467286,0.7201637793230383,1,25
76,size160__ppc8x8__ori9__colorrgb,160,8,8,8x8,9,rgb,0.03,0.001,2000,12996,0,0,1.0,1.0,1.0,1.0,1.0,0.7061224489795919,0.6650570929178129,0.6886895704488306,0.6701686326850725,0.7106182666953945,1,26
77,size160__ppc8x8__ori9__colorrgb,160,8,8,8x8,9,rgb,0.1,0.001,2000,12996,0,0,1.0,1.0,1.0,1.0,1.0,0.6979591836734694,0.6600768512533218,0.694183270126293,0.6680978247436505,0.7039365940224168,1,27
2,size112__ppc8x8__ori9__colorrgb,112,8,8,8x8,9,rgb,0.003,0.001,2000,6084,0,0,0.959890610756609,0.9647163998566665,0.968230697932056,0.9657736649701549,0.9600157672740475,0.7061224489795919,0.6644678657836552,0.6784143144839195,0.6678363543297935,0.7089525238052715,1,28
89,size160__ppc16x16__ori9__colorrgb,160,16,16,16x16,9,rgb,0.1,0.001,2000,2916,0,0,1.0,1.0,1.0,1.0,1.0,0.710204081632653,0.6611194136814738,0.6787023023699909,0.6671345091709,0.7139194128014402,1,29
42,size128__ppc16x16__ori9__colorrgb,128,16,16,16x16,9,rgb,0.3,0.001,2000,1764,0,0,0.9990884229717412,0.9990892531876138,0.9994004796163068,0.9992430786951335,0.9990888504668303,0.7061224489795919,0.6592020592020592,0.672536571537211,0.663434450610029,0.7104244430962198,1,30
83,size160__ppc8x8__ori12__colorrgb,160,8,8,8x8,12,rgb,0.1,0.001,2000,17328,0,0,1.0,1.0,1.0,1.0,1.0,0.6979591836734694,0.6544071759027937,0.6882765107656746,0.6622839678182086,0.7049173678098382,1,31
56,size144__ppc8x8__ori12__colorrgb,144,8,8,8x8,12,rgb,0.003,0.001,2000,13872,0,0,0.9945305378304466,0.9958467110345658,0.9956862096529674,0.9957350612715002,0.9945356925427052,0.7061224489795919,0.6573841376653201,0.6686565808255333,0.6613768480544796,0.7092695308927853,1,32
26,size128__ppc8x8__ori9__colorrgb,128,8,8,8x8,9,rgb,0.003,0.001,2000,8100,0,0,0.9817684594348223,0.9845806726266496,0.9855751638096186,0.9848535695077877,0.9817833121751246,0.6979591836734694,0.6557306893078693,0.6756716221406159,0.6612412844381174,0.7043810368851531,1,33
90,size160__ppc16x16__ori9__colorrgb,160,16,16,16x16,9,rgb,0.3,0.001,2000,2916,0,0,1.0,1.0,1.0,1.0,1.0,0.7020408163265306,0.6548677113634529,0.6720000030197668,0.6605256694377885,0.7062651038613954,1,34
58,size144__ppc8x8__ori12__colorrgb,144,8,8,8x8,12,rgb,0.03,0.001,2000,13872,0,0,1.0,1.0,1.0,1.0,1.0,0.7020408163265306,0.6538613486784218,0.6695725653566242,0.6580310371439689,0.7058363045545492,1,35
50,size144__ppc8x8__ori9__colorrgb,144,8,8,8x8,9,rgb,0.003,0.001,2000,10404,0,0,0.9881494986326345,0.9912076571990552,0.9899376205412146,0.990446038816614,0.9881969183297653,0.7061224489795919,0.6518518518518518,0.6682210286112817,0.657316892397617,0.7104197784658848,1,36
84,size160__ppc8x8__ori12__colorrgb,160,8,8,8x8,12,rgb,0.3,0.001,2000,17328,0,0,1.0,1.0,1.0,1.0,1.0,0.6857142857142857,0.6459721226269305,0.6837956312847951,0.6567252191157072,0.6913859311800616,1,37
78,size160__ppc8x8__ori9__colorrgb,160,8,8,8x8,9,rgb,0.3,0.001,2000,12996,0,0,1.0,1.0,1.0,1.0,1.0,0.6857142857142857,0.6492504121628943,0.6849333601234365,0.6566804869621771,0.6929689702842908,1,38
3,size112__ppc8x8__ori9__colorrgb,112,8,8,8x8,9,rgb,0.01,0.001,2000,6084,0,0,0.9954421148587056,0.996227621483376,0.9959273960142232,0.9960520998142012,0.9954400060473613,0.6938775510204082,0.6590155945419104,0.660649292754954,0.656128497692598,0.6973869481910789,1,39
47,size128__ppc16x16__ori12__colorrgb,128,16,16,16x16,12,rgb,0.1,0.001,2000,2352,0,0,0.9990884229717412,0.9993412384716732,0.9994004796163068,0.9993696666963993,0.9990885042826883,0.7020408163265306,0.6509331034741176,0.6673298904083166,0.6550353168919696,0.7079625597149541,1,40
32,size128__ppc8x8__ori12__colorrgb,128,8,8,8x8,12,rgb,0.003,0.001,2000,10800,0,0,0.9881494986326345,0.9904169554169555,0.9903527096221217,0.9902703611041739,0.9881595160243292,0.689795918367347,0.6504913798428417,0.6696859485070178,0.6544639023171867,0.6963886293984743,1,41
4,size112__ppc8x8__ori9__colorrgb,112,8,8,8x8,9,rgb,0.03,0.001,2000,6084,0,0,0.9990884229717412,0.9993412384716732,0.9994004796163068,0.9993696666963993,0.9990885042826883,0.6857142857142857,0.663475257554205,0.6527924616768223,0.6542188674192303,0.6875647940612739,1,42
75,size160__ppc8x8__ori9__colorrgb,160,8,8,8x8,9,rgb,0.01,0.001,2000,12996,0,0,0.9990884229717412,0.9993412384716732,0.9994004796163068,0.9993696666963993,0.9990885042826883,0.6979591836734694,0.648909856340197,0.662951980694309,0.6526587987810283,0.7014965271654173,1,43
95,size160__ppc16x16__ori12__colorrgb,160,16,16,16x16,12,rgb,0.1,0.001,2000,3888,0,0,1.0,1.0,1.0,1.0,1.0,0.6979591836734694,0.6579479604429258,0.6585074891808521,0.6525270976456842,0.7049225577423216,1,44
46,size128__ppc16x16__ori12__colorrgb,128,16,16,16x16,12,rgb,0.03,0.001,2000,2352,0,0,0.9826800364630811,0.9861892174827619,0.985621329890742,0.985801893184126,0.9827634187928693,0.6938775510204082,0.6489985829819589,0.6648767454765141,0.6513321064095591,0.7014349868521073,1,45
60,size144__ppc8x8__ori12__colorrgb,144,8,8,8x8,12,rgb,0.3,0.001,2000,13872,0,0,1.0,1.0,1.0,1.0,1.0,0.6693877551020408,0.6492975663345006,0.6673738173210323,0.6512901739890904,0.6722488858003524,1,46
33,size128__ppc8x8__ori12__colorrgb,128,8,8,8x8,12,rgb,0.01,0.001,2000,10800,0,0,0.9981768459434822,0.9984304916592871,0.9988009592326139,0.9986116612749253,0.9981757063388517,0.689795918367347,0.6497302528622024,0.6607414046787531,0.6511114341711356,0.6955079598034213,1,47
82,size160__ppc8x8__ori12__colorrgb,160,8,8,8x8,12,rgb,0.03,0.001,2000,17328,0,0,1.0,1.0,1.0,1.0,1.0,0.6938775510204082,0.6438285570638512,0.6678504952336833,0.6505151077617422,0.6987803339795887,1,48
45,size128__ppc16x16__ori12__colorrgb,128,16,16,16x16,12,rgb,0.01,0.001,2000,2352,0,0,0.9516864175022789,0.9614941869546002,0.9607795146651728,0.9600141232541385,0.9520184274100459,0.6857142857142857,0.6451812425496636,0.6713681443729761,0.6502013282244824,0.6940095690997033,1,49
59,size144__ppc8x8__ori12__colorrgb,144,8,8,8x8,12,rgb,0.1,0.001,2000,13872,0,0,1.0,1.0,1.0,1.0,1.0,0.673469387755102,0.6409296244432935,0.6676291674071155,0.6480386994130123,0.6769673850872028,1,50
10,size112__ppc8x8__ori12__colorrgb,112,8,8,8x8,12,rgb,0.03,0.001,2000,8112,0,0,0.9990884229717412,0.9993412384716732,0.9994004796163068,0.9993696666963993,0.9990885042826883,0.6816326530612244,0.6404831523252575,0.6530775568986262,0.6434871824717489,0.6860926652356952,1,51
5,size112__ppc8x8__ori9__colorrgb,112,8,8,8x8,9,rgb,0.1,0.001,2000,6084,0,0,1.0,1.0,1.0,1.0,1.0,0.6693877551020408,0.6496705159837668,0.6479910649068527,0.6424667231590366,0.6728631763855273,1,52
81,size160__ppc8x8__ori12__colorrgb,160,8,8,8x8,12,rgb,0.01,0.001,2000,17328,0,0,0.9990884229717412,0.9993412384716732,0.9994004796163068,0.9993696666963993,0.9990885042826883,0.6857142857142857,0.6375210375210375,0.6595581119413,0.6424647540780996,0.6909123513756232,1,53
62,size144__ppc16x16__ori9__colorrgb,144,16,16,16x16,9,rgb,0.003,0.001,2000,2304,0,0,0.8659981768459435,0.8575549063751033,0.8893536768185942,0.8680266798964031,0.8660614173020426,0.6775510204081633,0.6390872293871069,0.676043693300299,0.6423988264384769,0.689474109115491,1,54
55,size144__ppc8x8__ori12__colorrgb,144,8,8,8x8,12,rgb,0.001,0.001,2000,13872,0,0,0.96718322698268,0.9728269366612126,0.9732424759621702,0.9723544999922495,0.9672599942651859,0.6857142857142857,0.6361857973104068,0.6563417932678842,0.6419040780132702,0.6919420004381339,1,55
