modelName,split,accuracy,macroPrecision,macroRecall,macroF1,weightedF1
RGB HOG + Logistic Regression,train,0.9954,0.9962,0.9966,0.9964,0.9954
RGB HOG + Logistic Regression,val,0.7551,0.7116,0.7337,0.7184,0.7589
RGB HOG + Logistic Regression,test,0.7437,0.7501,0.7502,0.7496,0.7431
RGB HOG + Linear SVM,train,0.9854,0.9885,0.9877,0.988,0.9855
RGB HOG + Linear SVM,val,0.7224,0.6954,0.7058,0.6957,0.7247
RGB HOG + Linear SVM,test,0.7437,0.7647,0.7582,0.7605,0.743
RGB HOG + MLP,train,0.9754,0.9787,0.979,0.9787,0.9753
RGB HOG + MLP,val,0.8,0.7845,0.7932,0.7878,0.8
RGB HOG + MLP,test,0.7857,0.8027,0.801,0.799,0.7853
Residual CNN,train,0.969,0.9712,0.9748,0.9727,0.969
Residual CNN,val,0.8612,0.831,0.8437,0.8366,0.8622
Residual CNN,test,0.8613,0.8477,0.8697,0.856,0.8622
